"Temperature (K)" "Pressure (bar)" "Density (mol/l)" "Volume (l/mol)" "Internal Energy (kJ/mol)" "Enthalpy (kJ/mol)" "Entropy (J/mol*K)"
298.000000000 0.100000000000 0.00403666203212 247.729433885 12.1298384357 14.6071327746 126.348271676
298.000000000 0.200000000000 0.00807472430062 123.843237586 12.1287012900 14.6055660418 120.581276722
298.000000000 0.300000000000 0.0121141872694 82.5478406238 12.1275638739 14.6039990926 117.206216421
298.000000000 0.400000000000 0.0161550514017 61.9001434992 12.1264261873 14.6024319273 114.810463530
298.000000000 0.500000000000 0.0201973171601 49.5115263118 12.1252882301 14.6008645457 112.951316003
298.000000000 0.600000000000 0.0242409850067 41.2524490949 12.1241500023 14.5992969480 111.431582540
298.000000000 0.700000000000 0.0282860554029 35.3531090056 12.1230115037 14.5977291341 110.146075300
298.000000000 0.800000000000 0.0323325288095 30.9286046227 12.1218727345 14.5961611043 109.032006513
298.000000000 0.900000000000 0.0363804056864 27.4873240452 12.1207336944 14.5945928584 108.048876781
298.000000000 1.00000000000 0.0404296864934 24.7343001327 12.1195943834 14.5930243967 107.169033400
298.000000000 2.00000000000 0.0809998113309 12.3457077686 12.1081863627 14.5773279165 101.367586158
298.000000000 3.00000000000 0.121710829698 8.21619573610 12.0967511912 14.5616099121 97.9579928496
298.000000000 4.00000000000 0.162563189916 6.15145409314 12.0852888140 14.5458704513 95.5276263254
298.000000000 5.00000000000 0.203557333038 4.91262085760 12.0737991793 14.5301096081 93.6337846484
298.000000000 6.00000000000 0.244693692434 4.08674204085 12.0622822386 14.5143274631 92.0792766505
298.000000000 7.00000000000 0.285972693359 3.49683736672 12.0507379467 14.4985241034 90.7589146377
298.000000000 8.00000000000 0.327394752516 3.05441670129 12.0391662617 14.4826996227 89.6099110104
298.000000000 9.00000000000 0.368960277598 2.71031886280 12.0275671453 14.4668541218 88.5917665599
298.000000000 10.0000000000 0.410669666826 2.43504714563 12.0159405629 14.4509877086 87.6768287920
298.000000000 11.0000000000 0.452523308465 2.20983092206 12.0042864837 14.4351004980 86.8453743898
298.000000000 12.0000000000 0.494521580337 2.02215644324 11.9926048806 14.4191926125 86.0828404682
298.000000000 13.0000000000 0.536664849311 1.86336034731 11.9808957307 14.4032641822 85.3781678953
298.000000000 14.0000000000 0.578953470789 1.72725452122 11.9691590151 14.3873153448 84.7227603178
298.000000000 15.0000000000 0.621387788173 1.60930101787 11.9573947192 14.3713462460 84.1098031965
298.000000000 16.0000000000 0.663968132318 1.50609637922 11.9456028330 14.3553570397 83.5338030635
298.000000000 17.0000000000 0.706694820982 1.41503796308 11.9337833507 14.3393478879 82.9902667051
298.000000000 18.0000000000 0.749568158246 1.33410149431 11.9219362712 14.3233189610 82.4754721843
298.000000000 19.0000000000 0.792588433939 1.26168886295 11.9100615984 14.3072704380 81.9863018547
298.000000000 20.0000000000 0.835755923034 1.19652158296 11.8981593410 14.2912025069 81.5201182567
298.000000000 21.0000000000 0.879070885044 1.13756469133 11.8862295126 14.2751153644 81.0746703248
298.000000000 22.0000000000 0.922533563396 1.08397140188 11.8742721323 14.2590092165 80.6480214340
298.000000000 23.0000000000 0.966144184798 1.03504219736 11.8622872243 14.2428842782 80.2384934540
298.000000000 24.0000000000 1.00990295859 0.990194148355 11.8502748183 14.2267407744 79.8446227187
298.000000000 25.0000000000 1.05381007608 0.948937595780 11.8382349497 14.2105789392 79.4651249906
298.000000000 26.0000000000 1.09786570987 0.910858214272 11.8261676596 14.1943990167 79.0988673004
298.000000000 27.0000000000 1.14207001319 0.875603061507 11.8140729951 14.1782012612 78.7448451044
298.000000000 28.0000000000 1.18642311917 0.842869616957 11.8019510092 14.1619859367 78.4021635985
298.000000000 29.0000000000 1.23092514015 0.812397088483 11.7898017612 14.1457533178 78.0700223119
298.000000000 30.0000000000 1.27557616698 0.783959457607 11.7776253167 14.1295036895 77.7477023149
298.000000000 31.0000000000 1.32037626823 0.757359870864 11.7654217479 14.1132373475 77.4345555244
298.000000000 32.0000000000 1.36532548952 0.732426082774 11.7531911334 14.0969545983 77.1299957078
298.000000000 33.0000000000 1.41042385271 0.709006727359 11.7409335589 14.0806557592 76.8334908726
298.000000000 34.0000000000 1.45567135518 0.686968247635 11.7286491169 14.0643411589 76.5445567911
298.000000000 35.0000000000 1.50106796903 0.666192351467 11.7163379069 14.0480111370 76.2627514656
298.000000000 36.0000000000 1.54661364032 0.646573891455 11.7040000357 14.0316660450 75.9876703723
298.000000000 37.0000000000 1.59230828828 0.628019088616 11.6916356177 14.0153062455 75.7189423579
