"Temperature (K)" "Pressure (bar)" "Density (mol/l)" "Volume (l/mol)" "Internal Energy (kJ/mol)" "Enthalpy (kJ/mol)" "Entropy (J/mol*K)"
77.0000000000 1.00000000000 0.156452986780 6.39169644878 1.48380930196 2.12297894684 73.3910463026
77.0000000000 2.00000000000 0.313414496546 3.19066287941 1.47988958007 2.11802215595 67.5770626836
77.0000000000 3.00000000000 0.470880631449 2.12368046850 1.47596106497 2.11306520552 64.1549498038
77.0000000000 4.00000000000 0.628846459609 1.59021329407 1.47202413693 2.10810945456 61.7121002244
77.0000000000 5.00000000000 0.787306030636 1.27015412189 1.46807919167 2.10315625262 59.8058272233
77.0000000000 6.00000000000 0.946252392258 1.05680049866 1.46412663990 2.09820693910 58.2389536567
77.0000000000 7.00000000000 1.10567760818 0.904422765375 1.46016690673 2.09326284249 56.9063053539
77.0000000000 8.00000000000 1.26557277722 0.790156060557 1.45620043109 2.08832527953 55.7451079553
77.0000000000 9.00000000000 1.42592805390 0.701297654720 1.45222766513 2.08339555438 54.7148752891
77.0000000000 10.0000000000 1.58673267029 0.630225884121 1.44824907360 2.07847495772 53.7879677263
77.0000000000 11.0000000000 1.74797495948 0.572090575199 1.44426513312 2.07356476584 52.9446746548
77.0000000000 12.0000000000 1.90964238032 0.523658256806 1.44027633155 2.06866623971 52.1704457345
77.0000000000 13.0000000000 2.07172154375 0.482690351422 1.43628316721 2.06378062406 51.4542342139
77.0000000000 13.0000000000 2.07172154375 0.482690351422 1.43628316721 2.06378062406 51.4542342139
77.0000000000 13.0000000000 2.07172154375 0.482690351422 1.43628316721 2.06378062406 51.4542342139
77.0000000000 14.0000000000 2.23419824043 0.447587855860 1.43228614820 2.05890914641 50.7874559484
77.0000000000 15.0000000000 2.39705746980 0.417178149710 1.42828579161 2.05405301618 50.1633084268
77.0000000000 16.0000000000 2.56028347041 0.390581750637 1.42428262275 2.04921342377 49.5763100191
77.0000000000 17.0000000000 2.72385975150 0.367126097240 1.42027717438 2.04439153968 49.0219791487
77.0000000000 18.0000000000 2.88776912577 0.346288070981 1.41626998588 2.03958851364 48.4966053051
77.0000000000 19.0000000000 3.05199374311 0.327654669102 1.41226160250 2.03480547380 47.9970820473
77.0000000000 20.0000000000 3.21651512540 0.310895475697 1.40825257455 2.03004352595 47.5207828907
77.0000000000 21.0000000000 3.38131420207 0.295742998207 1.40424345656 2.02530375279 47.0654675044
77.0000000000 22.0000000000 3.54637134635 0.281978366712 1.40023480652 2.02058721329 46.6292097492
77.0000000000 23.0000000000 3.71166641220 0.269420763868 1.39622718509 2.01589494199 46.2103417225
77.0000000000 24.0000000000 3.87717877160 0.257919497374 1.39222115481 2.01122794851 45.8074097210
77.0000000000 25.0000000000 4.04288735221 0.247347975068 1.38821727934 2.00658721701 45.4191391974
77.0000000000 26.0000000000 4.20877067526 0.237599070407 1.38421612271 2.00197370577 45.0444065935
77.0000000000 27.0000000000 4.37480689339 0.228581517852 1.38021824858 1.99738834678 44.6822164920
77.0000000000 28.0000000000 4.54097382854 0.220217080687 1.37622421956 1.99283204549 44.3316829254
77.0000000000 29.0000000000 4.70724900960 0.212438304827 1.37223459649 1.98830568049 43.9920139656
77.0000000000 30.0000000000 4.87360970972 0.205186721867 1.36824993777 1.98381010338 43.6624989275
77.0000000000 31.0000000000 5.04003298327 0.198411399949 1.36427079877 1.97934613862 43.3424976724
77.0000000000 32.0000000000 5.20649570217 0.192067766345 1.36029773118 1.97491458348 43.0314316091
77.0000000000 33.0000000000 5.37297459176 0.186116644128 1.35633128242 1.97051620804 42.7287760819
77.0000000000 34.0000000000 5.53944626574 0.180523458849 1.35237199512 1.96615175521 42.4340538953
77.0000000000 35.0000000000 5.70588726052 0.175257581221 1.34842040657 1.96182194085 42.1468297773
77.0000000000 36.0000000000 5.87227406859 0.170291779355 1.34447704824 1.95752745392 41.8667056251
77.0000000000 37.0000000000 6.03858317102 0.165601759830 1.34054244530 1.95326895667 41.5933164012
77.0000000000 38.0000000000 6.20479106894 0.161165781231 1.33661711618 1.94904708486 41.3263265785
77.0000000000 39.0000000000 6.37087431408 0.156964327140 1.33270157218 1.94486244802 41.0654270477
77.0000000000 40.0000000000 6.53680953817 0.152979828181 1.32879631706 1.94071562978 40.8103324168
77.0000000000 41.0000000000 6.70257348138 0.149196424743 1.32490184671 1.93660718816 40.5607786449
77.0000000000 42.0000000000 6.86814301956 0.145599763597 1.32101864882 1.93253765593 40.3165209614
77.0000000000 43.0000000000 7.03349519046 0.142176822891 1.31714720253 1.92850754097 40.0773320308
77.0000000000 44.0000000000 7.19860721880 0.138915761008 1.31328797823 1.92451732666 39.8430003297
77.0000000000 45.0000000000 7.36345654029 0.135805785575 1.30944143721 1.92056747229 39.6133287055
77.0000000000 46.0000000000 7.52802082456 0.132837039549 1.30560803149 1.91665841342 39.3881330949
77.0000000000 47.0000000000 7.69227799690 0.130000501854 1.30178820358 1.91279056230 39.1672413806
77.0000000000 48.0000000000 7.85620625915 0.127287900421 1.29798238627 1.90896430829 38.9504923682
77.0000000000 49.0000000000 8.01978410934 0.124691635880 1.29419100246 1.90518001827 38.7377348697
77.0000000000 50.0000000000 8.18299036044 0.122204714408 1.29041446499 1.90143803703 38.5288268798
77.0000000000 51.0000000000 8.34580415805 0.119820688464 1.28665317648 1.89773868764 38.3236348331
77.0000000000 52.0000000000 8.50820499714 0.117533604366 1.28290752921 1.89408227192 38.1220329356
