"Temperature (K)" "Pressure (bar)" "Density (mol/l)" "Volume (l/mol)" "Internal Energy (kJ/mol)" "Enthalpy (kJ/mol)" "Entropy (J/mol*K)"
160.000000000 1.00000000000 0.0751236291611 13.3113909853 2.75841985436 4.08955895290 90.5191593828
160.000000000 2.00000000000 0.150153971708 6.65983049683 2.75688219986 4.08884829922 84.7464122742
160.000000000 3.00000000000 0.225090609200 4.44265535356 2.75534648555 4.08814309162 81.3656129577
160.000000000 4.00000000000 0.299933107643 3.33407674751 2.75381275490 4.08744345390 78.9641412513
160.000000000 5.00000000000 0.374681018481 2.66893691080 2.75228105070 4.08674950610 77.0992977134
160.000000000 6.00000000000 0.449333879573 2.22551658235 2.75075141513 4.08606136454 75.5738925129
160.000000000 7.00000000000 0.523891216124 1.90879321741 2.74922388975 4.08537914194 74.2827388345
160.000000000 8.00000000000 0.598352541601 1.67125553996 2.74769851545 4.08470294742 73.1630497264
160.000000000 9.00000000000 0.672717358615 1.48650839345 2.74617533251 4.08403288661 72.1743264882
160.000000000 10.0000000000 0.746985159779 1.33871468115 2.74465438056 4.08336906172 71.2889170371
160.000000000 11.0000000000 0.821155428536 1.21779624813 2.74313569859 4.08271157153 70.4870983933
160.000000000 12.0000000000 0.895227639967 1.11703432217 2.74161932495 4.08206051156 69.7543079472
160.000000000 13.0000000000 0.969201261569 1.03177744360 2.74010529735 4.08141597403 69.0794867876
160.000000000 13.0000000000 0.969201261569 1.03177744360 2.74010529735 4.08141597403 69.0794867876
160.000000000 13.0000000000 0.969201261569 1.03177744360 2.74010529735 4.08141597403 69.0794867876
160.000000000 14.0000000000 1.04307575401 0.958703139399 2.73859365285 4.08077804800 68.4540387316
160.000000000 15.0000000000 1.11685057186 0.895374927671 2.73708442787 4.08014681938 67.8711493635
160.000000000 16.0000000000 1.19052516430 0.839965445489 2.73557765819 4.07952237098 67.3253252936
160.000000000 17.0000000000 1.26409897581 0.791077296269 2.73407337896 4.07890478262 66.8120733422
160.000000000 18.0000000000 1.33757144681 0.747623614712 2.73257162466 4.07829413114 66.3276715629
160.000000000 19.0000000000 1.41094201433 0.708746348073 2.73107242915 4.07769049049 65.8690022569
160.000000000 20.0000000000 1.48421011261 0.673759053051 2.72957582565 4.07709393175 65.4334278698
160.000000000 21.0000000000 1.55737517369 0.642106036423 2.72808184672 4.07650452321 65.0186971991
160.000000000 22.0000000000 1.63043662800 0.613332639140 2.72659052432 4.07592233043 64.6228734400
160.000000000 23.0000000000 1.70339390491 0.587063272399 2.72510188975 4.07534741627 64.2442782402
160.000000000 24.0000000000 1.77624643326 0.562984944698 2.72361597367 4.07477984094 63.8814476692
160.000000000 25.0000000000 1.84899364189 0.540834742395 2.72213280612 4.07421966211 63.5330971822
160.000000000 26.0000000000 1.92163496011 0.520390199367 2.72065241653 4.07366693488 63.1980934602
160.000000000 27.0000000000 1.99416981819 0.501461806751 2.71917483366 4.07312171189 62.8754315665
160.000000000 28.0000000000 2.06659764785 0.483887127733 2.71770008570 4.07258404335 62.5642162608
160.000000000 29.0000000000 2.13891788265 0.467526129972 2.71622820017 4.07205397708 62.2636465931
160.000000000 30.0000000000 2.21112995842 0.452257451532 2.71475920400 4.07153155860 61.9730031104
160.000000000 31.0000000000 2.28323331371 0.437975389547 2.71329312352 4.07101683111 61.6916371626
160.000000000 32.0000000000 2.35522739015 0.424587453502 2.71182998442 4.07050983562 61.4189619062
160.000000000 33.0000000000 2.42711163279 0.412012363375 2.71036981179 4.07001061093 61.1544446929
160.000000000 34.0000000000 2.49888549053 0.400178401048 2.70891263015 4.06951919371 60.8976005951
160.000000000 35.0000000000 2.57054841638 0.389022044334 2.70745846338 4.06903561855 60.6479868702
160.000000000 36.0000000000 2.64209986786 0.378486828664 2.70600733479 4.06855991798 60.4051982043
160.000000000 37.0000000000 2.71353930726 0.368522393364 2.70455926710 4.06809212255 60.1688626085
160.000000000 38.0000000000 2.78486620194 0.359083678528 2.70311428245 4.06763226086 59.9386378625
160.000000000 39.0000000000 2.85608002463 0.350130245433 2.70167240239 4.06718035958 59.7142084194
160.000000000 40.0000000000 2.92718025370 0.341625698908 2.70023364790 4.06673644353 59.4952827039
160.000000000 41.0000000000 2.99816637337 0.333537194227 2.69879803939 4.06630053572 59.2815907429
160.000000000 42.0000000000 3.06903787402 0.325835014441 2.69736559671 4.06587265736 59.0728820824
160.000000000 43.0000000000 3.13979425234 0.318492206697 2.69593633915 4.06545282795 58.8689239491
160.000000000 44.0000000000 3.21043501161 0.311484268139 2.69451028546 4.06504106527 58.6694996241
160.000000000 45.0000000000 3.28095966186 0.304788873702 2.69308745381 4.06463738547 58.4744069986
160.000000000 46.0000000000 3.35136772009 0.298385639393 2.69166786187 4.06424180307 58.2834572886
160.000000000 47.0000000000 3.42165871042 0.292255915809 2.69025152674 4.06385433104 58.0964738885
160.000000000 48.0000000000 3.49183216427 0.286382607455 2.68883846500 4.06347498079 57.9132913444
160.000000000 49.0000000000 3.56188762052 0.280750014189 2.68742869273 4.06310376225 57.7337544340
160.000000000 50.0000000000 3.63182462566 0.275343691690 2.68602222545 4.06274068390 57.5577173392
160.000000000 51.0000000000 3.70164273389 0.270150328351 2.68461907820 4.06238575280 57.3850429009
160.000000000 52.0000000000 3.77134150731 0.265157636364 2.68321926551 4.06203897461 57.2156019456
