"Temperature (K)" "Pressure (bar)" "Density (mol/l)" "Volume (l/mol)" "Internal Energy (kJ/mol)" "Enthalpy (kJ/mol)" "Entropy (J/mol*K)"
400.000000000 1.00000000000 0.0300537278220 33.2737424762 7.55878128104 10.8861555287 116.247440105
400.000000000 2.00000000000 0.0600788277325 16.6447988042 7.55846696908 10.8874267299 110.483501624
400.000000000 3.00000000000 0.0900753387342 11.1018178122 7.55815316421 10.8886985079 107.111489037
400.000000000 4.00000000000 0.120043299618 8.33032749999 7.55783986779 10.8899708678 104.718781570
400.000000000 5.00000000000 0.149982748967 6.66743346741 7.55752708116 10.8912438149 102.862679207
400.000000000 6.00000000000 0.179893725162 5.55883758092 7.55721480562 10.8925173542 101.345991563
400.000000000 7.00000000000 0.209776266382 4.76698349746 7.55690304247 10.8937914907 100.063531282
400.000000000 8.00000000000 0.239630410613 4.17309304542 7.55659179297 10.8950662293 98.9525108929
400.000000000 9.00000000000 0.269456195650 3.71117835160 7.55628105838 10.8963415748 97.9724311914
400.000000000 10.0000000000 0.299253659100 3.34164669200 7.55597083991 10.8976175319 97.0956396076
400.000000000 11.0000000000 0.329022838388 3.03930269673 7.55566113875 10.8988941052 96.3024126916
400.000000000 12.0000000000 0.358763770759 2.78734945249 7.55535195609 10.9001712991 95.5781873791
400.000000000 13.0000000000 0.388476493284 2.57415832692 7.55504329308 10.9014491181 94.9119043206
400.000000000 13.0000000000 0.388476493284 2.57415832692 7.55504329308 10.9014491181 94.9119043206
400.000000000 13.0000000000 0.388476493284 2.57415832692 7.55504329308 10.9014491181 94.9119043206
400.000000000 14.0000000000 0.418161042859 2.39142315401 7.55473515085 10.9027275665 94.2949669104
400.000000000 15.0000000000 0.447817456215 2.23305274531 7.55442753051 10.9040066485 93.7205603253
400.000000000 16.0000000000 0.477445769917 2.09447870943 7.55412043314 10.9052863682 93.1831907828
400.000000000 17.0000000000 0.507046020369 1.97220757057 7.55381385982 10.9065667298 92.6783647255
400.000000000 18.0000000000 0.536618243817 1.86352218085 7.55350781160 10.9078477371 92.2023598433
400.000000000 19.0000000000 0.566162476354 1.76627742347 7.55320228948 10.9091293941 91.7520580883
400.000000000 20.0000000000 0.595678753919 1.67875720499 7.55289729449 10.9104117045 91.3248215707
400.000000000 21.0000000000 0.625167112306 1.59957230685 7.55259282759 10.9116946720 90.9183987659
400.000000000 22.0000000000 0.654627587164 1.52758609568 7.55228888976 10.9129783003 90.5308525608
400.000000000 23.0000000000 0.684060213998 1.46185961343 7.55198548194 10.9142625928 90.1605043076
400.000000000 24.0000000000 0.713465028178 1.40161039505 7.55168260504 10.9155475532 89.8058897931
400.000000000 25.0000000000 0.742842064935 1.34618116987 7.55138025998 10.9168331846 89.4657242027
400.000000000 26.0000000000 0.772191359370 1.29501578574 7.55107844764 10.9181194906 89.1388739592
400.000000000 27.0000000000 0.801512946453 1.24764048344 7.55077716887 10.9194064742 88.8243338805
400.000000000 28.0000000000 0.830806861027 1.20364918359 7.55047642453 10.9206941386 88.5212084921
400.000000000 29.0000000000 0.860073137811 1.16269181775 7.55017621543 10.9219824869 88.2286966217
400.000000000 30.0000000000 0.889311811402 1.12446499324 7.54987654240 10.9232715221 87.9460786053
400.000000000 31.0000000000 0.918522916280 1.08870446483 7.54957740620 10.9245612472 87.6727055925
400.000000000 32.0000000000 0.947706486806 1.05517901789 7.54927880762 10.9258516649 87.4079905505
400.000000000 33.0000000000 0.976862557230 1.02368546383 7.54898074741 10.9271427781 87.1514006525
400.000000000 34.0000000000 1.00599116169 0.994044518564 7.54868322629 10.9284345894 86.9024508026
400.000000000 35.0000000000 1.03509233421 0.966097387594 7.54838624499 10.9297271016 86.6606980997
400.000000000 36.0000000000 1.06416610872 0.939702920256 7.54808980419 10.9310203171 86.4257370817
400.000000000 37.0000000000 1.09321251903 0.914735225395 7.54779390459 10.9323142385 86.1971956210
400.000000000 38.0000000000 1.12223159886 0.891081663546 7.54749854684 10.9336088683 85.9747313679
400.000000000 39.0000000000 1.15122338183 0.868641147999 7.54720373159 10.9349042088 85.7580286556
400.000000000 40.0000000000 1.18018790146 0.847322700699 7.54690945946 10.9362002623 85.5467957977
400.000000000 41.0000000000 1.20912519117 0.827044219489 7.54661573108 10.9374970310 85.3407627186
400.000000000 42.0000000000 1.23803528430 0.807731421456 7.54632254703 10.9387945171 85.1396788707
400.000000000 43.0000000000 1.26691821408 0.789316933710 7.54602990788 10.9400927228 84.9433113953
400.000000000 44.0000000000 1.29577401367 0.771739508164 7.54573781421 10.9413916501 84.7514434962
400.000000000 45.0000000000 1.32460271613 0.754943340992 7.54544626656 10.9426913010 84.5638729953
400.000000000 46.0000000000 1.35340435444 0.738877480866 7.54515526546 10.9439916774 84.3804110471
400.000000000 47.0000000000 1.38217896150 0.723495312731 7.54486481142 10.9452927813 84.2008809919
400.000000000 48.0000000000 1.41092657012 0.708754106114 7.54457490493 10.9465946143 84.0251173290
400.000000000 49.0000000000 1.43964721305 0.694614618731 7.54428554649 10.9478971783 83.8529647968
400.000000000 50.0000000000 1.46834092294 0.681040747676 7.54399673656 10.9492004749 83.6842775445
400.000000000 51.0000000000 1.49700773237 0.667999221634 7.54370847559 10.9505045059 83.5189183871
400.000000000 52.0000000000 1.52564767385 0.655459328613 7.54342076402 10.9518092728 83.3567581320
400.000000000 53.0000000000 1.55426077982 0.643392674501 7.54313360226 10.9531147771 83.1976749700
400.000000000 54.0000000000 1.58284708264 0.631772968448 7.54284699073 10.9544210203 83.0415539233
400.000000000 55.0000000000 1.61140661462 0.620575831654 7.54256092982 10.9557280039 82.8882863435
400.000000000 56.0000000000 1.63993940797 0.609778626660 7.54227541990 10.9570357292 82.7377694563
400.000000000 57.0000000000 1.66844549487 0.599360304592 7.54199046135 10.9583441975 82.5899059447
400.000000000 58.0000000000 1.69692490741 0.589301268214 7.54170605450 10.9596534101 82.4446035696
400.000000000 59.0000000000 1.72537767762 0.579583248914 7.54142219970 10.9609633683 82.3017748228
400.000000000 60.0000000000 1.75380383748 0.570189195979 7.54113889726 10.9622740731 82.1613366085
400.000000000 61.0000000000 1.78220341891 0.561103176771 7.54085614750 10.9635855258 82.0232099519
400.000000000 62.0000000000 1.81057645375 0.552310286556 7.54057395071 10.9648977274 81.8873197309
400.000000000 63.0000000000 1.83892297380 0.543796566930 7.54029230716 10.9662106788 81.7535944294
400.000000000 64.0000000000 1.86724301080 0.535548931883 7.54001121713 10.9675243812 81.6219659105
400.000000000 65.0000000000 1.89553659644 0.527555100691 7.53973068087 10.9688388354 81.4923692066
400.000000000 66.0000000000 1.92380376235 0.519803536914 7.53945069862 10.9701540423 81.3647423258
400.000000000 67.0000000000 1.95204454011 0.512283392849 7.53917127061 10.9714700027 81.2390260733
400.000000000 68.0000000000 1.98025896124 0.504984458887 7.53889239706 10.9727867175 81.1151638849
400.000000000 69.0000000000 2.00844705723 0.497897117278 7.53861407817 10.9741041874 80.9931016743
400.000000000 70.0000000000 2.03660885950 0.491012299852 7.53833631412 10.9754224131 80.8727876897
400.000000000 71.0000000000 2.06474439942 0.484321449318 7.53805910511 10.9767413953 80.7541723815
400.000000000 72.0000000000 2.09285370835 0.477816483786 7.53778245128 10.9780611345 80.6372082795
400.000000000 73.0000000000 2.12093681755 0.471489764205 7.53750635281 10.9793816315 80.5218498776
400.000000000 74.0000000000 2.14899375828 0.465334064442 7.53723080982 10.9807028867 80.4080535272
400.000000000 75.0000000000 2.17702456173 0.459342543754 7.53695582245 10.9820249006 80.2957773375
400.000000000 76.0000000000 2.20502925906 0.453508721433 7.53668139083 10.9833476737 80.1849810823
400.000000000 77.0000000000 2.23300788139 0.447826453428 7.53640751504 10.9846712064 80.0756261127
400.000000000 78.0000000000 2.26096045979 0.442289910764 7.53613419520 10.9859954992 79.9676752762
400.000000000 79.0000000000 2.28888702529 0.436893559600 7.53586143138 10.9873205522 79.8610928399
400.000000000 80.0000000000 2.31678760888 0.431632142786 7.53558922366 10.9886463659 79.7558444196
400.000000000 81.0000000000 2.34466224153 0.426500662777 7.53531757210 10.9899729406 79.6518969121
400.000000000 82.0000000000 2.37251095414 0.421494365812 7.53504647675 10.9913002764 79.5492184331
400.000000000 83.0000000000 2.40033377762 0.416608727222 7.53477593766 10.9926283736 79.4477782574
400.000000000 84.0000000000 2.42813074279 0.411839437794 7.53450595484 10.9939572323 79.3475467640
400.000000000 85.0000000000 2.45590188047 0.407182391101 7.53423652832 10.9952868527 79.2484953832
400.000000000 86.0000000000 2.48364722144 0.402633671709 7.53396765811 10.9966172348 79.1505965479
400.000000000 87.0000000000 2.51136679645 0.398189544202 7.53369934421 10.9979483788 79.0538236470
400.000000000 88.0000000000 2.53906063619 0.393846442950 7.53343158660 10.9992802846 78.9581509818
400.000000000 89.0000000000 2.56672877136 0.389600962578 7.53316438526 11.0006129522 78.8635537245
400.000000000 90.0000000000 2.59437123260 0.385449849056 7.53289774017 11.0019463817 78.7700078797
400.000000000 91.0000000000 2.62198805053 0.381389991384 7.53263165127 11.0032805729 78.6774902473
400.000000000 92.0000000000 2.64957925572 0.377418413826 7.53236611851 11.0046155257 78.5859783878
400.000000000 93.0000000000 2.67714487875 0.373532268626 7.53210114184 11.0059512401 78.4954505894
400.000000000 94.0000000000 2.70468495014 0.369728829212 7.53183672118 11.0072877158 78.4058858369
400.000000000 95.0000000000 2.73219950038 0.366005483809 7.53157285646 11.0086249526 78.3172637821
400.000000000 96.0000000000 2.75968855995 0.362359729468 7.53130954758 11.0099629505 78.2295647161
400.000000000 97.0000000000 2.78715215930 0.358789166448 7.53104679444 11.0113017090 78.1427695425
400.000000000 98.0000000000 2.81459032884 0.355291492958 7.53078459693 11.0126412279 78.0568597526
400.000000000 99.0000000000 2.84200309897 0.351864500205 7.53052295495 11.0139815070 77.9718174012
400.000000000 100.000000000 2.86939050005 0.348506067746 7.53026186835 11.0153225458 77.8876250841
400.000000000 101.000000000 2.89675256242 0.345214159114 7.53000133702 11.0166643441 77.8042659166
400.000000000 102.000000000 2.92408931641 0.341986817703 7.52974136079 11.0180069014 77.7217235130
400.000000000 103.000000000 2.95140079230 0.338822162889 7.52948193953 11.0193502173 77.6399819671
400.000000000 104.000000000 2.97868702036 0.335718386377 7.52922307307 11.0206942914 77.5590258337
400.000000000 105.000000000 3.00594803085 0.332673748760 7.52896476124 11.0220391232 77.4788401107
400.000000000 106.000000000 3.03318385397 0.329686576266 7.52870700386 11.0233847123 77.3994102229
400.000000000 107.000000000 3.06039451994 0.326755257692 7.52844980075 11.0247310580 77.3207220053
400.000000000 108.000000000 3.08758005892 0.323878241508 7.52819315171 11.0260781600 77.2427616883
400.000000000 109.000000000 3.11474050109 0.321054033121 7.52793705655 11.0274260176 77.1655158829
400.000000000 110.000000000 3.14187587657 0.318281192283 7.52768151505 11.0287746302 77.0889715667
400.000000000 111.000000000 3.16898621548 0.315558330647 7.52742652699 11.0301239972 77.0131160709
400.000000000 112.000000000 3.19607154790 0.312884109449 7.52717209215 11.0314741180 76.9379370677
400.000000000 113.000000000 3.22313190393 0.310257237311 7.52691821030 11.0328249919 76.8634225574
