"Temperature (K)" "Pressure (bar)" "Density (mol/l)" "Volume (l/mol)" "Internal Energy (kJ/mol)" "Enthalpy (kJ/mol)" "Entropy (J/mol*K)"
298.000000000 0.100000000000 0.00403621589539 247.756816265 3.71555277237 6.19312093502 173.978721501
298.000000000 0.200000000000 0.00807293929243 123.870620573 3.71494552667 6.19235793813 168.213504766
298.000000000 0.300000000000 0.0121101699632 82.5752242159 3.71433823840 6.19159496488 164.840223468
298.000000000 0.400000000000 0.0161479076792 61.9275276939 3.71373090762 6.19083201537 162.446250366
298.000000000 0.500000000000 0.0201861522116 49.5389111068 3.71312353435 6.19006908969 160.588883412
298.000000000 0.600000000000 0.0242249033312 41.2798344880 3.71251611864 6.18930618792 159.070931309
298.000000000 0.700000000000 0.0282641608082 35.3804949945 3.71190866053 6.18854331015 157.787206213
298.000000000 0.800000000000 0.0323039244124 30.9559912051 3.71130116006 6.18778045647 156.674920357
298.000000000 0.900000000000 0.0363441939131 27.5147112188 3.71069361728 6.18701762698 155.693574342
298.000000000 1.00000000000 0.0403849690792 24.7616878953 3.71008603223 6.18625482176 154.815515463
298.000000000 1.10000000000 0.0444262496793 22.5092148723 3.70947840494 6.18549204089 154.021020173
298.000000000 1.20000000000 0.0484680354811 20.6321545751 3.70887073547 6.18472928448 153.295525332
298.000000000 1.30000000000 0.0525103262524 19.0438732982 3.70826302384 6.18396655261 152.627971533
298.000000000 1.40000000000 0.0565531217602 17.6824898233 3.70765527011 6.18320384537 152.009762123
298.000000000 1.50000000000 0.0605964217710 16.5026245902 3.70704747431 6.18244116285 151.434082240
298.000000000 1.60000000000 0.0646402260512 15.4702429290 3.70643963649 6.18167850514 150.895438068
298.000000000 1.70000000000 0.0686845343664 14.5593183273 3.70583175669 6.18091587233 150.389336024
298.000000000 1.80000000000 0.0727293464819 13.7496079420 3.70522383495 6.18015326451 149.912053772
298.000000000 1.90000000000 0.0767746621624 13.0251305813 3.70461587132 6.17939068176 149.460473244
298.000000000 2.00000000000 0.0808204811724 12.3731012918 3.70400786583 6.17862812419 149.031956532
298.000000000 2.10000000000 0.0848668032758 11.7831703493 3.70339981853 6.17786559188 148.624252093
298.000000000 2.20000000000 0.0889136282360 11.2468697976 3.70279172945 6.17710308492 148.235422801
298.000000000 2.30000000000 0.0929609558160 10.7572043685 3.70218359865 6.17634060340 147.863789992
298.000000000 2.40000000000 0.0970087857784 10.3083446718 3.70157542617 6.17557814741 147.507889441
298.000000000 2.50000000000 0.101057117885 9.89539402001 3.70096721204 6.17481571704 147.166436323
298.000000000 2.60000000000 0.105105951898 9.51420906182 3.70035895632 6.17405331239 146.838297048
298.000000000 2.70000000000 0.109155287578 9.16126027595 3.69975065903 6.17329093354 146.522466425
298.000000000 2.80000000000 0.113205124686 8.83352235839 3.69914232023 6.17252858058 146.218048969
298.000000000 2.90000000000 0.117255462982 8.52838728845 3.69853393997 6.17176625361 145.924243500
298.000000000 3.00000000000 0.121306302227 8.24359478152 3.69792551827 6.17100395272 145.640330345
298.000000000 3.10000000000 0.125357642178 7.97717620262 3.69731705518 6.17024167800 145.365660647
298.000000000 3.20000000000 0.129409482596 7.72740899617 3.69670855076 6.16947942953 145.099647363
298.000000000 3.30000000000 0.133461823238 7.49277940116 3.69610000503 6.16871720741 144.841757662
298.000000000 3.40000000000 0.137514663863 7.27195174615 3.69549141804 6.16795501173 144.591506439
298.000000000 3.50000000000 0.141568004228 7.06374300784 3.69488278985 6.16719284259 144.348450788
298.000000000 3.60000000000 0.145621844090 6.86710160998 3.69427412048 6.16643070007 144.112185241
298.000000000 3.70000000000 0.149676183206 6.68108966022 3.69366540998 6.16566858427 143.882337664
298.000000000 3.80000000000 0.153731021332 6.50486799175 3.69305665840 6.16490649527 143.658565702
298.000000000 3.90000000000 0.157786358223 6.33768350611 3.69244786579 6.16414443317 143.440553682
298.000000000 4.00000000000 0.161842193635 6.17885841473 3.69183903217 6.16338239806 143.228009914
298.000000000 4.10000000000 0.165898527323 6.02778105472 3.69123015760 6.16262039003 143.020664317
