# iterations	 errorinentropy	 maxerror	 minmean	 maxmean	 cverror	 mincv	 maxcv	(generated with python scripts-python-make-data/ising-multi-heat-capacity.py --file_dir=../ising-cp-data/ --reference=../deft/papers/histogram/data/ising-32-reference-lndos.dat --save_dir=ising/data/comparison/N32 --filename ising-sad-32 --N=32 --Emin=2048 --Emax=0 --seed_avg=8
0.03125	184	705.7	184	184	1948	1948	1948
0.0625	184	705.7	184	184	1948	1948	1948
0.09375	184	705.7	184	184	1948	1948	1948
0.125	184	705.7	184	184	1948	1948	1948
0.1875	184	705.7	184	184	1948	1948	1948
0.2188	184	705.7	184	184	1948	1948	1948
0.3125	184	705.7	184	184	1948	1948	1948
0.4062	184	705.7	184	184	1948	1948	1948
0.5625	184	706.1	184	184	1948	1948	1948
0.75	184	706	184	184	1948	1948	1948
1	184	706.1	184	184	1948	1948	1948
1.312	184	706.2	184	184	1948	1948	1948
1.75	184	706.3	183.9	184	1948	1948	1948
2.344	184	706.5	183.9	184	1948	1948	1948
3.125	184	706.4	184	184	1948	1948	1948
4.156	184	706	183.9	184.1	1948	1948	1948
5.562	183.9	705.7	183.8	184	1948	1948	1948
7.406	183.9	705.9	183.8	184	1948	1948	1948
9.875	183.8	705.8	183.6	184	1948	1948	1948
13.19	183.8	705.6	183.5	184.1	1948	1948	1948
17.56	183.6	704.6	183.3	183.9	1948	1948	1948
23.44	183.4	704.7	183.3	183.7	1948	1948	1948
31.25	183.1	704.1	182.8	183.4	1948	1948	1948
41.69	182.8	701.2	182.5	183	1948	1948	1948
55.56	182.5	699.2	181.8	183	1948	1948	1948
74.09	181.9	695.6	181.4	183	1948	1948	1948
98.81	181	693	180.6	181.6	1948	1948	1948
131.8	179.9	688.9	179.3	180.5	1948	1948	1948
175.7	178.4	687.6	177.8	179.7	1948	1948	1948
234.3	176.7	681.7	175.3	178.8	1948	1948	1948
312.5	174.6	673.1	173.1	178.9	1948	1948	1948
416.7	171.2	664.1	169.3	174.9	1948	1948	1948
555.7	167	657.6	164.7	169.8	1948	1948	1948
741.1	162.3	648.2	156.6	168.6	1948	1948	1948
988.2	154.7	640	147.6	161.6	1948	1948	1948
1318	143.6	629.1	135.5	148.4	1948	1948	1948
1757	130.3	610.2	124.9	135.3	1948	1948	1948
2343	118	587.5	110.4	126.4	2.304e+04	1948	5.061e+04
3125	116.1	563.4	109.2	124.4	5.427e+04	4.787e+04	6.324e+04
4167	120	530.5	106.1	132.3	7.285e+04	6.022e+04	9.02e+04
5557	129.2	523.9	112	155.2	9.389e+04	8.288e+04	1.078e+05
7411	157.2	599.3	137	176.7	1.255e+05	7.854e+04	1.555e+05
9882	192.1	678.6	172.6	208.6	1.233e+05	7.192e+04	2.118e+05
1.318e+04	243.8	801.1	197.9	263.4	7.298e+04	1937	1.807e+05
1.757e+04	285.3	910.6	256.5	311.9	1986	1342	3110
2.343e+04	358.9	1114	338.3	368.4	2313	1578	4816
3.125e+04	367.7	1229	316.1	392.8	3258	1512	7498
4.167e+04	380.6	1414	320.5	413.6	5810	1873	2.218e+04
5.557e+04	385.1	1630	327.4	436.1	3174	1380	7117
7.411e+04	317.7	1801	259.9	355.8	3427	1769	8747
9.882e+04	243.7	1793	142.3	356.7	8831	1886	2.824e+04
1.318e+05	186.6	1482	131.4	243.1	6122	1800	1.943e+04
1.757e+05	111.7	827.8	60.05	182	4220	1357	1.149e+04
2.343e+05	63.98	427.8	45.34	108.4	4219	2086	7617
3.125e+05	39.04	284	14.5	77.48	4211	1693	8405
4.167e+05	18.54	119.5	8.855	31.4	3458	1221	8158
5.557e+05	9.504	64.76	5.328	18.86	2164	581.3	4152
7.411e+05	3.652	27.24	1.317	7.408	1853	762.8	4298
9.882e+05	4.193	20.43	1.057	8.449	2256	745.9	3675
1.318e+06	2.481	11.67	0.557	8.54	2106	552.5	6454
1.757e+06	1.307	7.975	0.4835	2.776	1004	451.6	2631
2.343e+06	0.9497	4.8	0.5436	1.407	521.9	394.4	742.4
3.125e+06	0.6518	3.166	0.3215	1.11	502.5	282.4	698.8
4.167e+06	0.6149	2.91	0.1285	1.11	432.5	101.6	718.7
5.557e+06	0.4163	1.887	0.1629	0.639	300.7	107.4	501.7
7.411e+06	0.3755	1.64	0.1006	0.6077	221.9	69.55	357.2
9.882e+06	0.2098	0.9065	0.06629	0.7643	168.8	50.37	351.6
1.318e+07	0.1906	0.7879	0.08428	0.3584	154.6	57.3	249.3
1.757e+07	0.1316	0.5886	0.05692	0.2593	102.4	34.98	161.6
2.343e+07	0.1548	0.6376	0.0392	0.32	95.31	38.6	193.5
3.125e+07	0.08051	0.3571	0.03255	0.1585	64.02	32.78	96.1
4.167e+07	0.0633	0.2766	0.02914	0.1318	63.42	30	128.1
5.557e+07	0.04017	0.1862	0.0136	0.07235	33.04	11.69	73.82
7.411e+07	0.03734	0.1812	0.0121	0.07036	25.46	7.736	49.85
9.882e+07	0.02298	0.1124	0.01569	0.03605	18.24	9.486	25.71
1.318e+08	0.02982	0.1334	0.009221	0.06061	23.01	12.86	50.05
1.757e+08	0.02293	0.09895	0.009882	0.04426	16.57	9.003	31.67
2.343e+08	0.02468	0.09487	0.01447	0.03459	15.5	6.663	23.6
3.125e+08	0.02095	0.08147	0.005004	0.03818	12.1	6.784	16.02
4.167e+08	0.0166	0.06434	0.004507	0.03885	11.96	5.683	20.87
5.557e+08	0.01222	0.05208	0.004169	0.02027	10.29	6.437	15.97
7.411e+08	0.008006	0.0378	0.004255	0.01314	8.346	4.702	14.33
9.882e+08	0.006352	0.03089	0.002889	0.01048	6.43	5.291	8.253
1.318e+09	0.005159	0.02604	0.001929	0.0131	5.605	2.917	9.264
1.757e+09	0.00428	0.02068	0.002082	0.009537	4.101	2.525	8.405
2.343e+09	0.004578	0.01999	0.00203	0.007777	3.931	2.404	6.854
3.125e+09	0.00395	0.01835	0.0008384	0.008812	3.377	2.568	4.935
