Temperature	cvref	ising-sad-32	ising-wl-32	ising-wl-inv-t-32	ising-wl-32-minGamma
1.5	202.0091291412346	199.52658828636433	202.70458662958058	204.26172032830607	202.04405986608174
1.51	208.09656660967482	205.5682708747067	208.61632730796373	210.212642144933	208.09055012397388
1.52	214.30626374380086	211.73072996447104	214.6700085054977	216.2578490853782	214.2605601406842
1.53	220.64025771635625	218.02403456120925	220.87160004561733	222.4000685853535	220.55567222695805
1.54	227.10067923447914	224.4593002133053	227.2264043626495	228.64272481251345	226.9773371148367
1.55	233.68975820056477	231.04817188195963	233.7389444365519	234.98990727735088	233.52690310530275
1.56	240.40982972980558	237.80223033898042	240.4129094087164	241.4463209074106	240.20565817682544
1.57	247.26334055648192	244.73235496451795	247.25116674434992	248.0172271185395	247.01488501514044
1.58	254.25285586431718	251.84808286813387	254.25584319177656	254.70838590639997	253.9559277686253
1.59	261.38106657981484	259.157009801336	261.42846861143164	261.5260077959053	261.03026807729094
1.6	268.65079717144187	266.66428156958403	268.7701679161557	268.4767215878909	268.2396067743695
1.61	276.06501400205764	274.3722246268943	276.2818780428565	275.56755943791626	275.58594683346473
1.62	283.6268342868578	282.28016022970047	283.96456046957843	282.80595537315975	283.0716727969456
1.6300000000000001	291.3395357150854	290.38443708129967	291.81937672361846	290.1997476588067	290.69962221610984
1.6400000000000001	299.2065667995646	298.6787023563038	299.8477957361188	297.7571704275366	298.4731455044764
1.6500000000000001	307.23155802589827	307.15441063157056	308.0516084449834	305.4868167782726	306.3961519803679
1.6600000000000001	315.41833388081955	315.80154581261297	316.4328366239385	313.3975551890686	314.47314147648893
1.6700000000000002	323.77092584858383	324.6095049963792	324.99353849156745	321.4983844230548	322.7092224249126
1.6800000000000002	332.2935864746165	333.56806875112454	333.73553134383855	329.79821956775515	331.1101184497714
1.6900000000000002	340.99080460756693	342.6683636204267	342.66006862561926	338.30561325857747	339.68216595807985
1.7000000000000002	349.8673219442334	351.90371394639794	351.76752254632333	347.02843058362606	348.4323048324562
1.7100000000000002	358.9281510175075	361.27028483704674	361.05713071053407	355.9735119369766	357.36806316979147
1.7200000000000002	368.1785947848314	370.76743816194676	370.52686415993384	365.1463727590914	366.49753527782116
1.7300000000000002	377.62426799508825	380.3977584718249	380.17346377518635	374.55099976551634	375.82935025863964
1.7400000000000002	387.2711205350443	390.16675258929126	389.9926728368177	384.18980691957705	385.37262701702633
1.7500000000000002	397.12546298330653	400.08227954150396	399.9796680270673	394.06380845030066	395.1369109628947
1.7600000000000002	407.1939946306325	410.1538185998595	410.12966309244865	404.17304905359185	405.13208849661703
1.7700000000000002	417.4838342615922	420.3917234226639	420.438633550042	414.51730297896194	415.36827788787787
1.7800000000000002	428.00255403407795	430.80663089154837	430.90409205741145	425.0970158949496	425.8556992486486
1.7900000000000003	438.7582168419914	441.4091871766678	441.52583649590645	435.91442021511284	436.6045317526728
1.8000000000000003	449.75941760319853	452.2102171451309	452.30659873120464	446.9747117924331	447.62477228053285
1.8100000000000003	461.01532898171916	463.22139726856614	463.25254135572857	458.28714057196976	458.92611542573866
1.8200000000000003	472.53575213151686	474.45640278356115	474.3735797566196	469.86584714357406	470.51787918980233
1.8300000000000003	484.33117314216526	485.9323984469859	485.6835423861313	481.73027731796054	482.4090026857822
1.8400000000000003	496.41282597671363	497.6716445506125	497.20021628727187	493.90503175870566	494.6081408401459
1.8500000000000003	508.792762823128	509.7029140861199	508.9453503434086	506.41905806247576	507.1238758869409
1.8600000000000003	521.4839329375641	522.0623807365226	520.9446987653454	519.3041655585262	519.965056193128
1.8700000000000003	534.5002712465555	534.7936545126628	533.2281776276131	532.5929320509314	533.1412601051095
1.8800000000000003	547.8567982032092	547.9467190543902	545.8301765835515	546.3161673945406	546.6633669278513
1.8900000000000003	561.5697326703125	561.5756591038833	558.7900189874076	560.5001898998206	560.5442004326173
1.9000000000000004	575.6566199434318	575.7352453344997	572.1525029655983	575.1642459311879	574.799194229615
1.9100000000000004	590.1364774468765	590.4766440531624	585.9683932141901	590.3184487799607	589.4470151973272
1.9200000000000004	605.0299611575839	605.8427119596447	600.2946797775812	605.9626192533459	604.5100730672938
1.9300000000000004	620.3595564670452	621.8634889549954	615.1943871225159	622.0863691780996	620.0148433305494
1.9400000000000004	636.149798019964	638.5525845846793	630.735713775644	638.6706757553267	635.9919385465693
1.9500000000000004	652.4275241257723	655.9051426558376	646.9903154287825	655.6910506635203	652.4758811875183
1.9600000000000004	669.2221726990954	673.89795225439	664.030614186205	673.1222217486651	669.504560029029
1.9700000000000004	686.5661274464966	692.4920562891252	681.9261208593416	690.9440347643796	687.1183918761332
1.9800000000000004	704.4951253093072	711.6379139379861	700.7388901545495	709.1480746712	705.3592602735562
1.9900000000000004	723.0487391635154	731.2828422630582	720.5183827143084	727.7443341549175	724.2693607830338
2.0000000000000004	742.2709536754821	751.3801494003288	741.2961746617838	746.76715733586	743.8901446369704
2.0100000000000007	762.2108572611112	771.8991350135349	763.081123915522	766.2796906701309	764.2616128487796
2.0200000000000005	782.9234795534882	792.8350208620809	785.8557576715313	786.3762003182192	785.4222619670647
