T (K)	P (bar)	cm3/cm3
298.15	0.51	11.88
298.15	1.50	32.66
298.15	3.25	63.12
298.15	5.64	93.50
298.15	7.60	111.58
298.15	10.13	129.09
298.15	12.58	142.23
298.15	15.09	153.33
298.15	20.05	169.77
298.15	25.04	182.23
298.15	30.02	191.84
298.15	34.97	199.82
298.15	40.04	206.55
298.15	44.95	212.70
298.15	49.96	218.25
298.15	54.97	223.16
298.15	59.95	226.94
298.15	64.90	230.28
298.15	69.93	233.71
298.15	75.00	237.32
298.15	79.63	240.74
298.15	84.82	245.03
298.15	89.94	246.66
298.15	94.84	249.25
298.15	98.76	252.14
