T (K)	P (bar)	cm3/cm3
298.15	0.67	3.60
298.15	1.80	9.51
298.15	3.71	19.39
298.15	5.58	28.97
298.15	7.57	39.00
298.15	10.09	51.46
298.15	12.56	63.23
298.15	15.06	74.68
298.15	20.05	96.30
298.15	25.03	116.05
298.15	30.01	133.86
298.15	35.03	149.87
298.15	40.00	163.72
298.15	45.02	176.92
298.15	49.99	187.37
298.15	55.02	197.75
298.15	59.99	206.99
298.15	64.91	215.14
298.15	69.90	222.03
298.15	74.90	229.73
298.15	79.89	236.03
298.15	84.87	243.14
298.15	89.56	248.16
298.15	94.78	253.34
298.15	98.66	256.46
