T (K)	P (bar)	cm3/cm3
298.15	0.56	8.12
298.15	1.61	20.02
298.15	3.47	36.76
298.15	5.55	52.19
298.15	7.53	64.41
298.15	10.05	77.68
298.15	12.59	89.22
298.15	15.04	99.12
298.15	20.03	116.15
298.15	25.03	130.56
298.15	30.01	142.82
298.15	34.96	153.53
298.15	40.04	163.29
298.15	44.94	172.09
298.15	49.95	180.86
298.15	54.93	188.28
298.15	59.93	196.09
298.15	64.87	202.80
298.15	69.65	209.63
298.15	74.63	215.24
298.15	79.71	221.81
298.15	84.58	226.19
298.15	89.84	231.35
298.15	94.79	234.88
298.15	98.69	237.24
