-25,,0,,25,,38,,50,,75,,100,,150,
P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g
0.42,30.66,0.58,21.96,0.68,15.04,0.76,12.87,0.75,10.30,0.78,7.01,0.85,5.12,0.87,2.71
1.24,73.88,1.58,50.33,1.72,33.22,1.91,28.92,1.92,23.96,0.78,7.01,0.85,5.12,0.87,2.71
2.76,141.55,3.37,93.30,3.55,60.30,3.84,51.98,3.80,42.86,0.78,7.01,0.85,5.12,0.87,2.71
5.66,217.87,5.50,135.31,5.57,86.44,5.59,70.28,5.73,59.90,0.78,7.01,0.85,5.12,0.87,2.71
7.87,246.84,7.60,167.14,7.71,110.27,7.75,90.42,7.64,75.27,0.78,7.01,0.85,5.12,0.87,2.71
10.26,265.34,10.17,194.94,10.16,133.03,10.13,109.62,10.15,93.31,0.78,7.01,0.85,5.12,0.87,2.71
12.69,277.64,12.66,214.43,12.66,152.13,12.66,126.95,12.64,108.66,0.78,7.01,0.85,5.12,0.87,2.71
15.25,286.69,15.26,229.48,15.29,168.80,15.28,142.18,15.23,122.89,0.78,7.01,0.85,5.12,0.87,2.71
20.11,296.97,20.14,247.87,20.16,191.93,20.16,164.89,20.14,144.88,0.78,7.01,0.85,5.12,0.87,2.71
25.09,302.74,25.14,259.57,25.16,208.65,25.12,181.81,25.16,162.72,1.92,16.26,2.04,11.80,2.15,6.51
30.19,305.42,30.07,266.92,30.14,220.66,30.22,194.89,30.10,175.94,3.83,30.16,4.01,22.03,4.18,12.21
35.03,306.41,35.19,272.36,35.10,229.27,35.08,204.77,35.10,187.18,5.62,41.83,5.72,30.07,5.80,16.59
40.12,305.77,40.21,274.98,40.23,235.43,40.19,212.66,40.23,195.65,7.63,53.75,7.76,39.19,7.69,21.37
45.06,304.46,45.13,276.62,45.14,239.73,45.17,217.88,45.19,202.06,10.16,67.08,10.18,48.95,10.18,27.14
49.94,302.95,50.07,278.08,50.07,242.07,50.09,221.76,50.07,206.26,12.71,79.16,12.67,58.23,12.68,32.60
55.03,300.98,55.04,277.59,55.01,244.89,55.06,225.20,55.05,210.88,15.11,89.75,15.23,67.23,15.21,37.83
59.97,296.71,60.08,275.84,60.07,246.04,60.07,226.98,60.08,212.98,20.15,108.45,20.16,82.04,20.22,47.04
64.94,291.47,64.99,274.64,65.05,247.94,65.17,226.70,65.10,215.12,25.12,124.27,25.17,94.62,25.15,55.18
69.43,287.24,70.03,272.37,70.01,247.26,69.65,227.50,69.82,216.35,30.10,136.65,30.13,104.95,30.26,61.89
74.31,281.92,74.98,269.93,74.59,246.96,75.06,229.20,75.04,217.45,35.25,147.64,35.10,113.96,35.10,67.56
80.01,271.50,79.67,268.32,79.83,244.44,80.14,227.69,80.15,217.31,40.25,156.40,40.20,122.39,40.24,72.34
84.39,267.21,84.52,265.35,84.81,243.06,84.72,228.74,84.86,217.83,45.15,163.21,45.14,129.25,45.23,76.43
89.45,260.37,89.68,260.74,89.54,241.77,89.39,228.20,89.71,215.04,50.16,169.70,50.17,134.73,50.16,81.20
94.57,254.20,94.83,255.56,94.61,239.16,94.97,225.63,94.34,215.30,55.12,173.72,55.21,139.93,55.09,84.07
99.37,247.04,99.60,251.58,99.92,236.96,99.64,223.53,99.43,212.84,60.14,175.94,60.18,143.56,60.21,86.55
