25,,-25,,0,,38,,50,,75,,100,,150,
P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g
0.68,15.52,0.42,31.01,0.58,22.39,0.76,13.38,0.75,10.78,0.78,7.48,0.85,5.59,0.87,3.14
1.72,34.43,1.24,74.92,1.58,51.53,1.91,30.19,1.92,25.20,0.78,7.48,0.85,5.59,0.87,3.14
3.55,62.79,2.76,143.87,3.37,95.87,3.84,54.56,3.80,45.32,0.78,7.48,0.85,5.59,0.87,3.14
5.57,90.35,5.66,222.67,5.50,139.54,5.59,74.05,5.73,63.61,0.78,7.48,0.85,5.59,0.87,3.14
7.71,115.71,7.87,253.57,7.60,173.01,7.75,95.65,7.64,80.24,0.78,7.48,0.85,5.59,0.87,3.14
10.16,140.23,10.26,274.18,10.17,202.85,10.13,116.49,10.15,99.93,0.78,7.48,0.85,5.59,0.87,3.14
12.66,161.14,12.69,288.68,12.66,224.33,12.66,135.56,12.64,116.93,0.78,7.48,0.85,5.59,0.87,3.14
15.29,179.73,15.25,300.07,15.26,241.49,15.28,152.62,15.23,132.88,0.78,7.48,0.85,5.59,0.87,3.14
20.16,206.46,20.11,314.91,20.14,263.90,20.16,178.76,20.14,158.17,0.78,7.48,0.85,5.59,0.87,3.14
25.16,226.95,25.09,325.52,25.14,279.84,25.12,199.21,25.16,179.44,1.92,17.41,2.04,12.94,2.15,7.56
30.14,242.77,30.19,333.35,30.07,291.45,30.22,215.99,30.10,196.06,3.83,32.46,4.01,24.27,4.18,14.26
35.10,255.24,35.03,339.42,35.19,301.43,35.08,229.42,35.10,210.78,5.62,45.21,5.72,33.27,5.80,19.43
40.23,265.46,40.12,344.33,40.21,308.63,40.19,241.11,40.23,222.87,7.63,58.34,7.76,43.54,7.69,25.14
45.14,273.71,45.06,348.62,45.13,314.86,45.17,250.08,45.19,232.81,10.16,73.21,10.18,54.66,10.18,32.14
50.07,280.07,49.94,352.87,50.07,321.04,50.09,257.71,50.07,240.53,12.71,86.85,12.67,65.34,12.68,38.84
55.01,286.99,55.03,357.16,55.04,325.41,55.06,264.98,55.05,248.75,15.11,98.91,15.23,75.80,15.21,45.32
60.07,292.39,59.97,359.21,60.08,328.70,60.07,270.68,60.08,254.56,20.15,120.72,20.16,93.41,20.22,57.02
65.05,298.53,64.94,360.58,64.99,332.54,65.17,274.43,65.10,260.40,25.12,139.64,25.17,108.87,25.15,67.60
70.01,302.13,69.43,362.54,70.03,335.53,69.65,278.79,69.82,265.16,30.10,155.14,30.13,122.04,30.26,76.85
74.59,305.84,74.31,364.20,74.98,338.37,75.06,284.85,75.04,270.19,35.25,169.39,35.10,133.94,35.10,84.93
79.83,307.94,80.01,362.22,79.67,341.85,80.14,287.46,80.15,273.92,40.25,181.33,40.20,145.33,40.24,92.28
84.81,311.01,84.39,364.63,84.52,344.25,84.72,292.26,84.86,278.02,45.15,191.30,45.14,155.09,45.23,98.86
89.54,313.99,89.45,365.72,89.68,345.42,89.39,295.57,89.71,278.96,50.16,201.02,50.17,163.52,50.16,106.11
94.61,315.98,94.57,367.73,94.83,346.09,94.97,297.62,94.34,282.78,55.12,208.26,55.21,171.69,55.09,111.45
99.92,318.64,99.37,368.34,99.60,347.60,99.64,299.41,99.43,284.25,60.14,213.78,60.18,178.26,60.21,116.49
