T (K)	P (bar)	cm3/cm3
298.15	0.68	13.67
298.15	1.72	30.33
298.15	3.55	55.31
298.15	5.57	79.60
298.15	7.71	101.94
298.15	10.16	123.54
298.15	12.66	141.96
298.15	15.29	158.34
298.15	20.16	181.89
298.15	25.16	199.94
298.15	30.14	213.88
298.15	35.10	224.86
298.15	40.23	233.87
298.15	45.14	241.14
298.15	50.07	246.74
298.15	55.01	252.84
298.15	60.07	257.60
298.15	65.05	263.01
298.15	70.01	266.18
298.15	74.59	269.45
298.15	79.83	271.30
298.15	84.81	274.00
298.15	89.54	276.62
298.15	94.61	278.38
298.15	99.92	280.72
