T (K)	P (bar)	cm3/cm3
# 298.15	0.01	0.01
298.15	4.07	27.65
298.15	6.73	43.52
298.15	10.14	65.81
298.15	13.03	85.08
298.15	17.57	112.19
298.15	22.07	135.73
298.15	26.38	156.06
298.15	31.59	176.04
298.15	37.42	193.88
298.15	42.58	206.72
298.15	47.67	216.53
298.15	52.8	224.38
298.15	59.49	231.87
298.15	66.03	237.75
298.15	72.6	240.61
298.15	78.71	242.03
298.15	85.6	243.1
