T (K)	P (bar)	cm3/cm3
298.15	0.63	21.94
298.15	1.72	54.95
298.15	3.48	93.57
298.15	5.79	126.15
298.15	7.73	144.71
298.15	10.18	161.61
298.15	12.69	174.60
298.15	15.19	185.11
298.15	20.13	200.84
298.15	25.15	213.38
298.15	30.07	222.13
298.15	35.17	230.67
298.15	40.18	237.13
298.15	45.12	243.55
298.15	50.08	247.79
298.15	55.18	252.43
298.15	60.03	256.96
298.15	65.15	259.64
298.15	70.06	260.58
298.15	74.69	263.17
298.15	79.36	266.52
298.15	84.78	269.74
298.15	89.51	270.98
298.15	94.33	273.09
298.15	99.45	276.74
