-25,,25,,38,,50,,75,,100,,150,
P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g
0.59,12.08,0.67,5.8,0.7,5.12,0.69,4.3,0.87,4.03,0.89,3.23,0.92,2.12
1.6,31.81,1.8,15.31,1.85,13.33,1.83,11.29,0.87,4.03,0.89,3.23,0.92,2.12
3.41,66.64,3.71,31.22,3.77,26.79,3.8,23.33,0.87,4.03,0.89,3.23,0.92,2.12
5.56,107.6,5.58,46.65,5.55,39.12,5.59,34.11,0.87,4.03,0.89,3.23,0.92,2.12
7.58,145.06,7.57,62.79,7.58,53.09,7.56,45.7,0.87,4.03,0.89,3.23,0.92,2.12
10.1,189.16,10.09,82.86,10.06,69.77,10.07,60.33,0.87,4.03,0.89,3.23,0.92,2.12
12.59,228.3,12.56,101.83,12.58,86.23,12.61,74.61,0.87,4.03,0.89,3.23,0.92,2.12
15.08,262.97,15.06,120.25,15.06,102.19,15.09,88.88,0.87,4.03,0.89,3.23,0.92,2.12
20.17,318.81,20.05,155.07,20.06,132.36,20.06,115.1,0.87,4.03,0.89,3.23,0.92,2.12
25.09,358.75,25.03,186.87,25.04,160.77,25.07,140.43,2.03,9.35,2.06,7.67,2.24,5.12
30.05,389.11,30.01,215.56,30.05,186.25,30.04,163,4.15,18.94,4.05,14.82,4.2,9.61
35.01,413.48,35.03,241.34,35.01,210.29,35.01,184.78,5.7,25.72,5.67,20.56,5.73,13.16
40.01,432.66,40,263.65,40,231.72,39.99,204.16,7.68,34.66,7.81,28.13,7.81,18.02
44.96,448.85,45.02,284.9,45.02,250.2,45.05,221.68,10.19,45.5,10.26,36.5,10.2,23.3
49.94,463.29,49.99,301.73,49.98,267.16,50.01,238.29,12.68,56,12.71,44.5,12.69,28.58
54.86,475.11,55.02,318.44,54.96,282.27,54.95,252.33,15.24,67.22,15.13,52.72,15.21,34.01
59.81,485.45,59.99,333.32,59.81,298.05,59.92,266.88,20.22,87.41,20.19,68.86,20.18,44.4
64.81,495.46,64.91,346.44,64.88,312.27,65.01,279.34,25.13,107.28,25.15,84.53,25.14,54.56
69.82,502.97,69.9,357.53,69.96,322.95,69.95,291.76,30.24,126.22,30.25,99.5,30.27,63.59
74.53,508.41,74.9,369.93,74.96,333.24,74.91,300.9,35.25,143.51,35.09,113.42,35.11,72.76
79.74,517.7,79.89,380.08,79.92,343.09,79.91,309.91,40.08,158.93,40.22,126.77,40.2,80.7
84.83,523.37,84.87,391.53,84.9,352.55,84.59,317.64,45.14,174.49,45.19,139.6,45.16,87.8
89.74,528.9,89.56,399.62,89.81,362.18,89.9,326.97,50.13,188.97,50.17,150.37,50.1,94.79
94.73,535.22,94.78,407.96,94.89,371.4,94.86,332.26,55.1,203.06,55.21,160.42,55.12,102.45
98.41,537.64,98.66,412.97,98.73,376.83,98.74,335.82,60.06,216.63,60.11,170.98,60.15,109.7
