-25,,25,,38,,50,,75,,100,,150,
P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g,P (bar),cm3/g
0.59,11.19,0.67,4.95,0.70,4.27,0.69,3.50,0.87,3.08,0.89,2.33,0.92,1.30
1.60,29.38,1.80,13.03,1.85,11.08,1.83,9.15,0.87,3.08,0.89,2.33,0.92,1.30
3.41,61.41,3.71,26.50,3.77,22.19,3.80,18.86,0.87,3.08,0.89,2.33,0.92,1.30
5.56,99.02,5.58,39.52,5.55,32.33,5.59,27.52,0.87,3.08,0.89,2.33,0.92,1.30
7.58,133.29,7.57,53.08,7.58,43.79,7.56,36.76,0.87,3.08,0.89,2.33,0.92,1.30
10.10,173.34,10.09,69.87,10.06,57.38,10.07,48.40,0.87,3.08,0.89,2.33,0.92,1.30
12.59,208.41,12.56,85.57,12.58,70.68,12.61,59.62,0.87,3.08,0.89,2.33,0.92,1.30
15.08,238.94,15.06,100.69,15.06,83.49,15.09,70.88,0.87,3.08,0.89,2.33,0.92,1.30
20.17,286.09,20.05,128.79,20.06,107.28,20.06,91.01,0.87,3.08,0.89,2.33,0.92,1.30
25.09,317.31,25.03,153.78,25.04,129.22,25.07,110.15,2.03,7.14,2.06,5.58,2.24,3.12
30.05,338.57,30.01,175.54,30.05,148.12,30.04,126.50,4.15,14.44,4.05,10.71,4.20,5.87
35.01,353.49,35.03,194.21,35.01,165.56,35.01,141.98,5.70,19.53,5.67,14.81,5.73,8.04
40.01,362.76,40.00,209.38,40.00,180.25,39.99,154.98,7.68,26.31,7.81,20.19,7.81,11.04
44.96,368.74,45.02,223.30,45.02,191.86,45.05,165.94,10.19,34.38,10.26,26.05,10.20,14.18
49.94,372.49,49.99,232.76,49.98,201.94,50.01,176.06,12.68,42.14,12.71,31.54,12.69,17.23
54.86,373.33,55.02,241.90,54.96,210.08,54.95,183.57,15.24,50.52,15.13,37.27,15.21,20.39
59.81,372.17,59.99,249.19,59.81,218.97,59.92,191.50,20.22,65.17,20.19,48.18,20.18,26.32
64.81,370.09,64.91,254.68,64.88,225.91,65.01,197.10,25.13,79.52,25.15,58.69,25.14,31.99
69.82,365.01,69.90,257.94,69.96,229.23,69.95,202.82,30.24,92.67,30.25,68.33,30.27,36.39
74.53,358.19,74.90,262.40,74.96,232.21,74.91,205.18,35.25,104.24,35.09,77.15,35.11,41.18
79.74,353.43,79.89,264.53,79.92,234.74,79.91,207.30,40.08,114.10,40.22,85.08,40.20,44.49
84.83,344.93,84.87,267.88,84.90,236.79,84.59,208.54,45.14,123.80,45.19,92.63,45.16,47.09
89.74,336.46,89.56,268.28,89.81,239.07,89.90,210.49,50.13,132.47,50.17,98.10,50.10,49.57
94.73,328.26,94.78,268.00,94.89,240.62,94.86,208.83,55.10,140.74,55.21,102.74,55.12,52.67
98.41,319.82,98.66,266.56,98.73,240.24,98.74,206.94,60.06,148.45,60.11,108.04,60.15,55.33
