T (K)	P (bar)	cm3/cm3
298.15	0.57	11.30
298.15	1.61	29.09
298.15	3.49	56.24
298.15	5.58	81.23
298.15	7.56	100.16
298.15	10.09	119.67
298.15	15.10	147.57
298.15	20.09	166.50
298.15	25.05	181.30
298.15	30.02	192.65
298.15	35.04	202.47
298.15	39.96	210.46
298.15	44.99	217.68
298.15	49.99	223.98
298.15	54.91	230.03
298.15	59.95	235.04
298.15	64.89	239.42
298.15	69.91	243.67
298.15	74.86	247.82
298.15	79.93	251.68
298.15	84.85	254.40
298.15	89.76	258.12
298.15	94.81	260.77
298.15	98.59	263.75
