T (K)	P (bar)	cm3/cm3
298.15	0.16	4.70
298.15	0.54	15.68
298.15	1.02	27.19
298.15	1.99	45.77
298.15	3.02	63.30
298.15	4.03	79.80
298.15	5.01	94.32
298.15	10.10	151.60
298.15	15.01	188.97
298.15	20.06	214.57
298.15	25.06	231.63
298.15	30.10	246.72
298.15	35.11	257.26
298.15	40.00	269.23
298.15	50.07	281.70
298.15	60.04	293.83
298.15	65.03	295.03
298.15	70.11	297.57
298.15	80.04	302.49
298.15	80.04	302.49
298.15	80.04	302.49
298.15	80.04	302.49
298.15	80.04	302.49
298.15	80.04	302.49
298.15	80.04	302.49
