T (K)	P (bar)	cm3/cm3
298.15	0.51	16.38
298.15	1.44	43.66
298.15	3.17	82.42
298.15	5.62	117.78
298.15	7.64	137.04
298.15	10.08	153.74
298.15	12.60	166.64
298.15	15.04	176.71
298.15	20.04	192.02
298.15	25.04	203.75
298.15	30.02	212.90
298.15	34.98	220.60
298.15	40.00	226.40
298.15	44.98	231.72
298.15	49.95	236.67
298.15	55.00	241.08
298.15	59.88	245.10
298.15	64.89	248.64
298.15	69.63	252.11
298.15	74.88	254.34
298.15	79.60	256.83
298.15	84.87	258.87
298.15	89.83	259.19
298.15	94.85	258.16
298.15	98.65	259.19
