# comparison reference file	(generated with python figs/parse-ising-out.py /home/jordan/sad-monte-carlo/ising-wl-128-minGamma-s1 32 ising-wl-32-minGamma 
#  moves	 gamma	
1	1
1	1
1	1
2	1
3	1
4	1
6	1
7	1
10	1
13	1
18	1
24	1
32	1
42	1
56	1
75	1
100	1
133	1
178	1
237	1
316	1
422	1
562	1
750	1
1000	1
1334	1
1778	1
2371	1
3162	1
4217	1
5623	1
7499	1
10000	1
13335	1
17783	1
23714	1
31623	1
42170	1
56234	1
74989	1
100000	1
133352	1
177828	1
237137	1
316228	1
421697	1
562341	1
749894	1
1000000	1
1333521	1
1778279	1
2371374	1
3162278	1
4216965	1
5623413	1
7498942	1
10000000	1
13335214	1
17782794	1
23713737	1
31622777	1
42169650	1
56234133	1
74989421	1
100000000	1
133352143	1
177827941	1
237137371	1
316227766	1
421696503	1
562341325	1
749894209	1
1000000000	1
1333521432	1
1778279410	1
2371373706	1
3162277660	1
4216965034	1
